speakerid,native_language,native_lang_code,age,wer,mer,L1_American,L1_Australian,L1_British,L1_Canadian,sex_0,sex_1
1997,American,10,20,0.028985507,0.028985507,1,0,0,0,0,1
1957,American,10,20,0.028985507,0.028985507,1,0,0,0,0,1
1956,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
1955,American,10,26,0.028985507,0.028985507,1,0,0,0,1,0
1951,American,10,37,0.028985507,0.028985507,1,0,0,0,0,1
1933,American,10,19,0.028985507,0.028985507,1,0,0,0,0,1
1928,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
1908,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
1895,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
1893,American,10,22,0.028985507,0.028985507,1,0,0,0,0,1
1887,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
1886,American,10,22,0.028985507,0.028985507,1,0,0,0,1,0
1875,American,10,60,0.028985507,0.028985507,1,0,0,0,1,0
1819,American,10,72,0.028985507,0.028985507,1,0,0,0,1,0
1803,American,10,48,0.028985507,0.028985507,1,0,0,0,1,0
1802,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
1799,American,10,37,0.028985507,0.028985507,1,0,0,0,1,0
1735,American,10,25,0.028985507,0.028985507,1,0,0,0,1,0
1734,American,10,45,0.028985507,0.028985507,1,0,0,0,1,0
1719,American,10,34,0.028985507,0.028985507,1,0,0,0,1,0
1716,American,10,60,0.028985507,0.028985507,1,0,0,0,1,0
1668,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
1667,American,10,34,0.028985507,0.028985507,1,0,0,0,1,0
1665,American,10,43,0.028985507,0.028985507,1,0,0,0,1,0
1664,American,10,66,0.028985507,0.028985507,1,0,0,0,1,0
1659,American,10,38,0.028985507,0.028985507,1,0,0,0,1,0
1658,American,10,42,0.028985507,0.028985507,1,0,0,0,0,1
1657,American,10,24,0.028985507,0.028985507,1,0,0,0,0,1
1640,American,10,24,0.028985507,0.028985507,1,0,0,0,0,1
1564,American,10,37,0.028985507,0.028985507,1,0,0,0,0,1
1560,American,10,35,0.028985507,0.028985507,1,0,0,0,0,1
1552,American,10,19,0.028985507,0.028985507,1,0,0,0,0,1
1550,American,10,55,0.028985507,0.028985507,1,0,0,0,1,0
1548,American,10,34,0.028985507,0.028985507,1,0,0,0,1,0
1546,American,10,40,0.028985507,0.028985507,1,0,0,0,1,0
1538,American,10,37,0.028985507,0.028985507,1,0,0,0,1,0
1534,American,10,46,0.028985507,0.028985507,1,0,0,0,0,1
1532,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
1530,American,10,42,0.028985507,0.028985507,1,0,0,0,1,0
1524,American,10,62,0.028985507,0.028985507,1,0,0,0,1,0
1471,American,10,45,0.028985507,0.028985507,1,0,0,0,0,1
1416,American,10,52,0.028985507,0.028985507,1,0,0,0,1,0
1413,American,10,48,0.028985507,0.028985507,1,0,0,0,0,1
1412,American,10,35,0.028985507,0.028985507,1,0,0,0,0,1
1411,American,10,7,0.028985507,0.028985507,1,0,0,0,0,1
1390,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
1388,American,10,79,0.028985507,0.028985507,1,0,0,0,1,0
1384,American,10,39,0.028985507,0.028985507,1,0,0,0,0,1
1372,American,10,53,0.028985507,0.028985507,1,0,0,0,1,0
1361,American,10,27,0.028985507,0.028985507,1,0,0,0,0,1
1358,American,10,37,0.028985507,0.028985507,1,0,0,0,0,1
1341,American,10,25,0.028985507,0.028985507,1,0,0,0,0,1
1334,American,10,43,0.028985507,0.028985507,1,0,0,0,1,0
1332,American,10,57,0.028985507,0.028985507,1,0,0,0,1,0
1330,American,10,71,0.028985507,0.028985507,1,0,0,0,1,0
1328,American,10,37,0.028985507,0.028985507,1,0,0,0,0,1
1327,American,10,50,0.028985507,0.028985507,1,0,0,0,0,1
1324,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
1323,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
1321,American,10,60,0.028985507,0.028985507,1,0,0,0,0,1
1319,American,10,60,0.028985507,0.028985507,1,0,0,0,1,0
1308,American,10,28,0.028985507,0.028985507,1,0,0,0,0,1
1303,American,10,59,0.028985507,0.028985507,1,0,0,0,0,1
1297,American,10,63,0.028985507,0.028985507,1,0,0,0,0,1
1280,American,10,52,0.028985507,0.028985507,1,0,0,0,1,0
1258,American,10,73,0.028985507,0.028985507,1,0,0,0,1,0
1236,American,10,76,0.028985507,0.028985507,1,0,0,0,0,1
1225,American,10,43,0.028985507,0.028985507,1,0,0,0,1,0
1222,American,10,29,0.028985507,0.028985507,1,0,0,0,0,1
1218,American,10,67,0.028985507,0.028985507,1,0,0,0,1,0
1217,American,10,63,0.028985507,0.028985507,1,0,0,0,1,0
1212,American,10,40,0.028985507,0.028985507,1,0,0,0,0,1
1208,American,10,53,0.028985507,0.028985507,1,0,0,0,0,1
1176,American,10,30,0.028985507,0.028985507,1,0,0,0,1,0
1121,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
1120,American,10,30,0.028985507,0.028985507,1,0,0,0,1,0
1052,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
1051,American,10,47,0.028985507,0.028985507,1,0,0,0,1,0
983,American,10,19,0.028985507,0.028985507,1,0,0,0,1,0
982,American,10,37,0.028985507,0.028985507,1,0,0,0,1,0
977,American,10,52,0.028985507,0.028985507,1,0,0,0,1,0
952,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
951,American,10,20,0.028985507,0.028985507,1,0,0,0,1,0
921,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
919,American,10,32,0.028985507,0.028985507,1,0,0,0,1,0
912,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
907,American,10,20,0.028985507,0.028985507,1,0,0,0,0,1
905,American,10,73,0.028985507,0.028985507,1,0,0,0,1,0
890,American,10,30,0.028985507,0.028985507,1,0,0,0,1,0
889,American,10,50,0.028985507,0.028985507,1,0,0,0,0,1
876,American,10,42,0.028985507,0.028985507,1,0,0,0,0,1
863,American,10,50,0.028985507,0.028985507,1,0,0,0,1,0
858,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
856,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
850,American,10,53,0.028985507,0.028985507,1,0,0,0,1,0
824,American,10,22,0.028985507,0.028985507,1,0,0,0,0,1
803,American,10,22,0.028985507,0.028985507,1,0,0,0,0,1
801,American,10,55,0.028985507,0.028985507,1,0,0,0,0,1
799,American,10,18,0.028985507,0.028985507,1,0,0,0,1,0
798,American,10,31,0.028985507,0.028985507,1,0,0,0,1,0
795,American,10,42,0.028985507,0.028985507,1,0,0,0,1,0
794,American,10,22,0.028985507,0.028985507,1,0,0,0,1,0
791,American,10,52,0.028985507,0.028985507,1,0,0,0,0,1
767,American,10,23,0.028985507,0.028985507,1,0,0,0,0,1
749,American,10,22,0.028985507,0.028985507,1,0,0,0,1,0
748,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
747,American,10,18,0.028985507,0.028985507,1,0,0,0,0,1
739,American,10,39,0.028985507,0.028985507,1,0,0,0,0,1
737,American,10,19,0.028985507,0.028985507,1,0,0,0,1,0
734,American,10,26,0.028985507,0.028985507,1,0,0,0,0,1
729,American,10,38,0.028985507,0.028985507,1,0,0,0,0,1
664,American,10,56,0.028985507,0.028985507,1,0,0,0,1,0
637,American,10,60,0.028985507,0.028985507,1,0,0,0,0,1
618,American,10,19,0.028985507,0.028985507,1,0,0,0,1,0
617,American,10,21,0.028985507,0.028985507,1,0,0,0,1,0
606,American,10,38,0.028985507,0.028985507,1,0,0,0,1,0
597,American,10,34,0.028985507,0.028985507,1,0,0,0,0,1
590,American,10,39,0.028985507,0.028985507,1,0,0,0,1,0
556,American,10,20,0.028985507,0.028985507,1,0,0,0,0,1
